,_id,brewery,name,category,style,updated,abv,description,ibu,srm,upc
57,beer_47_Bryg,Carlsberg Bryggerierne,47 Bryg,German Lager,Traditional German-Style Bock,2010-07-22 20:00:20,7,,,,
58,beer_4868_Dark_Wheat,Moonlight Brewing,4868 Dark Wheat,Irish Ale,Porter,2010-07-22 20:00:20,,,,,
59,beer_4th_Anniversary_IPA,Stone Brewing Co.,4th Anniversary IPA,North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,,,,,
60,beer_4_Reverends_Imperial_Stout,Piece,4 Reverends Imperial Stout,North American Ale,American-Style Stout,2010-07-22 20:00:20,,,,,
61,beer_4_Seasons_IPA,"Voodoo Brewing Co.,LLC",4 Seasons IPA,North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,8,India Pale Ale is a wonderful example of marriage.  Bitter Hops and Boasting Barley come together to make one of the most sought after ales of the Craft Beer masses. Bottle Conditioned and Refermented.,,,
62,"beer_5,000_Year_Ale","Pyramid Alehouse, Brewery and Restaurant - Seattle","5,000 Year Ale",,,2010-07-22 20:00:20,,,,,
63,beer_50_CAT_IPA,Vintage 50 Restaurant and Brew Lounge,50 CAT IPA,North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,,"An American style India Pale Ale. This medium bodied, light bronze hued brew has an aggressive hop character and flavor from the use of American hops in dry hopping. Our interpretation comes in at 13.0 degrees plato with IBUâs in the mid 40âs. The American hop varietals used as Kettle additions were Amarillo and Chinook and this was dry hopped with Chinook as well.",,,
64,beer_5280_Roadhouse_Ghost_Town_Brown,Mill Steakhouse,5280 Roadhouse Ghost Town Brown,North American Ale,American-Style Brown Ale,2010-07-22 20:00:20,,,,,
65,beer_555_IPA,The Livery,555 IPA,North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,6.25,"A true North American IPA! All North American malts, Northwest Mt. Hood hops, and American Ale yeast all blend for a perfectly balanced bitter ale.",,,
66,beer_563_Stout,21st Amendment Brewery Cafe,563 Stout,North American Ale,American-Style Stout,2010-07-22 20:00:20,5,"Deep black color, toasted black burnt coffee flavors and aroma. Dispensed with Nitrogen through a slow-flow faucet giving it the characteristic cascading effect, resulting in a rich dense creamy head.",,,
67,beer_5th_Anniversary_IPA,Stone Brewing Co.,5th Anniversary IPA,North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,,,,,
68,beer_5_Barrel_Pale_Ale,Odell Brewing,5 Barrel Pale Ale,British Ale,Classic English-Style Pale Ale,2010-07-22 20:00:20,5.3,"The distinctive hop character of our 5 Barrel Pale Ale is due to the extraction of essential oils from select hops. We treat 5 Barrel Pale Ale to an infusion of fresh whole hop flowers in the Hop Back and the Fermentor, as well as four hop additions during the kettle boil. We like how this gives the beer a fresh, lively flavor and aroma.",,,
69,beer_5_C's_IPA,Portsmouth Brewery,5 C's IPA,North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,6.5,"Our interpretation of a West Coast IPA is golden, medium-bodied ale that is very hop forward.  The use of Cascade, Chinook, Columbus, Centennial and Crystal hops makes this beer a hopheadâs dream.",,,
70,beer_5_Czars_Imperial_Stout,McKenzie Brew House,5 Czars Imperial Stout,North American Ale,American-Style Stout,2010-07-22 20:00:20,,,,,
71,beer_5_Malt_Ale,Devil Mountain Brewing,5 Malt Ale,North American Ale,American-Style Amber/Red Ale,2010-07-22 20:00:20,,,,,
72,beer_6,Abbaye de Maredsous,6,North American Ale,Golden or Blonde Ale,2010-07-22 20:00:20,6,"Blonde Ales are one of the fastest growing beer styles in Belgium, France and the UK. Moorgat's Maredsous 6 is an easy drinking Blonde with a balance of graininess and aromatic hop.",,,
73,beer_60_Minute_IPA,Dogfish Head Craft Brewery,60 Minute IPA,North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,6,"Our flagship beer. A session India Pale Ale brewed with Warrior, Amarillo & 'Mystery Hop X.' A powerful East Coast I.P.A. with a lot of citrusy hop character. THE session beer for beer geeks like us!",,,
74,beer_60_Shilling,Nodding Head Brewpub,60 Shilling,British Ale,Scotch Ale,2010-07-22 20:00:20,,lighter Scotish-Style Ale... amber in color with plenty of maltiness... reminds us all that sometime there just aren't enough O's in smooth,,,
75,beer_60_Shilling_Scotch_Ale,Barley Island Brewing,60 Shilling Scotch Ale,,,2010-07-22 20:00:20,5,,,,
76,beer_75_Minute_IPA,Dogfish Head Craft Brewery,75 Minute IPA,North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,7.5,"Johnny Cask has entered the building! Weâve retrofitted a 15 barrel tank to perfectly produce a very special cask conditioned ale (so, we have a little time to play around during winters at the Delaware coast). This beer, known as Dogfish Head 75 Minute IPA is a blend of 60 and 90 Minute IPAs with a special whole leaf cascade dry-hopping session.",,,
77,beer_77_Lager,BrewDog Ltd,77 Lager,German Lager,German-Style Pilsener,2010-07-22 20:00:20,4.9,"A Lager that actually tastes of something?

You have to be kidding, right?

77 lager is made with 100% malt and whole leaf hops.

It contains no preservatives, additives, cheap substitutes or any other junk.

Maybe we are crazy. So what?

Taste 77 Lager and we are pretty sure you will agree that the fine line between genius and insanity has just become a little more blurred.",,,
78,beer_7th_Anniversary_IPA,Stone Brewing Co.,7th Anniversary IPA,North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,7.7,,,,
79,beer_8-Ball_Stout,Lost Coast Brewery,8-Ball Stout,North American Ale,American-Style Stout,2010-07-22 20:00:20,,,,,
80,beer_8,Abbaye de Maredsous,8,Belgian and French Ale,Belgian-Style Dubbel,2010-07-22 20:00:20,8,Moortgat's Maredsous 8 is a fine strong dubbel that is sweet when young but develops a stout like flavour as it ages.,,,
81,beer_80_Shilling,Gaslight Brewery,80 Shilling,,,2010-07-22 20:00:20,,,,,
82,beer_8th_Street_Ale,Four Peaks Brewing,8th Street Ale,British Ale,Special Bitter or Best Bitter,2010-07-22 20:00:20,4.5,"Now In Bottles!! Our award winning 8th Street Ale is based on an English-style ""Best Bitter"" which is the most common ale served in British pubs. What makes 8th Street Ale uncommon is its mellow bitterness and its slightly sweet malt flavor. It's aroma is derived from rare, imported Kentish hops, and lots of them.
Alcohol content approximately 4.5% by volume (ALWAYS ON TAP!!)",,,
83,beer_90_Minute_IPA,Dogfish Head Craft Brewery,90 Minute IPA,North American Ale,Imperial or Double India Pale Ale,2010-07-22 20:00:20,9,"Esquire Magazine calls our 90 Minute .IPA., ""perhaps the best I.P.A. in America."" An Imperial I.P.A. brewed to be savored from a snifter. A big beer with a great malt backbone that stands up to the extreme hopping rate. This beer is an excellent candidate for use with Randall The Enamel Animal!",,,
84,beer_90_Shilling,Odell Brewing,90 Shilling,British Ale,Scottish-Style Light Ale,2010-07-22 20:00:20,5.3,"We introduced 90 Shilling, our flagship beer, at our opening party in 1989. For a while, we'd been wondering - what would happen if we lightened up the traditional Scottish ale? The result is an irresistibly smooth and delicious medium-bodied amber ale. The name 90 Shilling comes from the Scottish method of taxing beer. Only the highest quality beers were taxed 90 Shillings. A shilling was a British coin used from 1549 to 1982. We think you'll find this original ale brilliantly refreshing, and worth every shilling.",,,
85,beer_9th_Anniversary_IPA,Stone Brewing Co.,9th Anniversary IPA,North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,7.5,,,,
86,beer_9Â½_Wheats,"Fitger's Brewhouse, Brewery and Grill",9Â½ Wheats,,,2010-07-22 20:00:20,,,,,
87,beer_A._LeCoq_Imperial_Extra_Double_Stout_1999,Harvey & Son (Lewes),A. LeCoq Imperial Extra Double Stout 1999,North American Ale,American-Style Stout,2010-07-22 20:00:20,9,,,,
88,beer_A._LeCoq_Imperial_Extra_Double_Stout_2000,Harvey & Son (Lewes),A. LeCoq Imperial Extra Double Stout 2000,North American Ale,American-Style Stout,2010-07-22 20:00:20,9,,,,
89,beer_Abana_Amber_Ale,Mickey Finn's Brewery,Abana Amber Ale,North American Ale,American-Style Amber/Red Ale,2010-07-22 20:00:20,,,,,
90,beer_Abbaye_de_Floreffe_Double,Brasserie Lefebvre,Abbaye de Floreffe Double,,,2010-07-22 20:00:20,6.3,,,,
91,beer_Abbaye_de_Saint-Martin_Blonde,Brasserie de Brunehaut,Abbaye de Saint-Martin Blonde,Belgian and French Ale,Belgian-Style Pale Strong Ale,2010-07-22 20:00:20,7,"11.2oz bottle.  Slightly hazy golden color with a white head. Earthy clay, light molasses, and buttered cauliflower aromas. A crisp, frothy entry leads to a dryish medium body of figs, creamy caramel, and roasted carrot flavors. This St. Martin Blonde ale finishes with dried fruit and cashew fade.
Abbye St. Martin Ales are pure Belgium.",,,
92,beer_Abbaye_de_Saint-Martin_Brune,Brasserie de Brunehaut,Abbaye de Saint-Martin Brune,Belgian and French Ale,Belgian-Style Dark Strong Ale,2010-07-22 20:00:20,8,"Abbaye Saint-Martin Brune was named World's Best Abbey (Dark) Beer @ the 2009 World Beer Awards (London). Aroma of caramel and liquorice.  Less sweet than most traditional Dark Abbey Ales. Many people prefer this double at room temperature. It is especially popular when paired with dessert.
Abbye St. Martin Ales are pure Belgium.",,,
93,beer_Abbaye_de_Saint-Martin_CuvÃ©e_de_Noel,Brasserie de Brunehaut,Abbaye de Saint-Martin CuvÃ©e de Noel,,,2010-07-22 20:00:20,8.5,"A limited production, spiced Christmas ale available during the cold-weather months. (across the northern hemisphere)
Abbye St. Martin Ales are pure Belgium.",,,
94,beer_Abbaye_de_Saint-Martin_Triple,Brasserie de Brunehaut,Abbaye de Saint-Martin Triple,Belgian and French Ale,Other Belgian-Style Ales,2010-07-22 20:00:20,9,"Three varieties of malt and three of hops create the robust character of this St. Martin triple abbey ale.
Abbye St. Martin Ales are pure Belgium.",,,
95,beer_Abbaye_de_St_Amand,Brasserie de Brunehaut,Abbaye de St Amand,Belgian and French Ale,Other Belgian-Style Ales,2010-07-22 20:00:20,7,"A unique 7% Belgian blonde ale, flavoured with juniper berries. The beer has bittersweet malt flavours, and a heady perfumed aroma of orange and juniper.",,,
96,beer_Abbey_8,McKenzie Brew House,Abbey 8,,,2010-07-22 20:00:20,8,,,,
97,beer_Abbey_Ale,Abita Brewing Company,Abbey Ale,British Ale,Classic English-Style Pale Ale,2011-08-15 11:51:39,,Abbey Ale is a strong malty ale brewed in the style of the Trappist Monks. 22oz bottles only,,,
98,beer_Abbey_Belgian_Style_Ale,New Belgium Brewing,Abbey Belgian Style Ale,Belgian and French Ale,Belgian-Style Dubbel,2010-07-22 20:00:20,7,"Winner of four World Beer Cup medals and eight medals at the Great American Beer Fest, Abbey Belgian Ale is the Mark Spitz of New Belgiumâs lineup - but it didnât start out that way. When Jeff and Kim first sampled the beer at the Lyons Folks Fest, reviews were mixed at best. One of founder Jeffâs first two Belgian style homebrews (along with Fat Tire), Abbey is a Belgian dubbel (or double) brewed with six different malts and an authentic Belgian yeast strain. Abbey is bottle-conditioned, weighs in at 7.0% alcohol by volume, and pairs well with chocolate (or boldly served by itself) for dessert.",,,
99,beer_Abbey_Brown_Ale_/_Pater,Brewery Corsendonk,Abbey Brown Ale / Pater,,,2010-07-22 20:00:20,,,,,
100,beer_Abbey_Dubbel,Brewery Ommegang,Abbey Dubbel,Belgian and French Ale,Belgian-Style Dubbel,2010-07-22 20:00:20,8.5,,,,
101,beer_Abbey_Extra,Sacramento Brewing Company,Abbey Extra,Belgian and French Ale,Belgian-Style Pale Ale,2010-07-22 20:00:20,4.5,,,,
102,beer_Abbey_IPA,Sacramento Brewing Company,Abbey IPA,Belgian and French Ale,Other Belgian-Style Ales,2010-07-22 20:00:20,7,"Belgian IPA, West Coast hops meet belgian yeast. Spicy, fruity and citrusy notes combine for an interesting fusion brew.",,,
103,beer_Abbey_Normal_Ale,Four Peaks Brewing,Abbey Normal Ale,Belgian and French Ale,Other Belgian-Style Ales,2010-07-22 20:00:20,,A Belgian Double Abbey.,,,
104,beer_Abbey_Roade_Belgian_Ale,Appalachian Brewing Company,Abbey Roade Belgian Ale,Belgian and French Ale,Other Belgian-Style Ales,2010-07-22 20:00:20,6.4,"Abbey Roade is brewed in the tradition of the famous Belgian Abbey-style ales.  This wonderful brew is soft and sweet up front.  The complex and spicy middle palate is in most part due to the generous addition of dark Belgian candy sugar.  This semi-dry ale has notes of ripe plum and pear with a peppery finish. 
The origins of the Abbey-style ale date back to the Middle Ages.  Monks residing in monasteries, called Abbeys, brewed beer as a source of nutrition during their frequent and often lengthy fasting periods.",,,
105,beer_Abbey_Triple,Stoudt's Brewery,Abbey Triple,Belgian and French Ale,Belgian-Style Tripel,2010-07-22 20:00:20,9,"The Triple is a strong, full-bodied Belgian abbey-style ale. The authentic Belgian yeast strain used in fermentation contributes to a rich array of spicy, phenolic, and fruit-like flavors and noticeable alcoholic warmth. This unfiltered ale has an irresistible pale orange-colored hazy glow.",,,
